identity,slug
Mumbai,mumbai
Bengaluru,bengaluru
Delhi,delhi
Kolkata,kolkata
Pune,pune
Hyderabad,hyderabad
Chennai,chennai
Thane,thane
Ahmedabad,ahmedabad
Pune-4,pune
Lucknow,lucknow
Gurgaon,gurugram
Hyderabad Area,hyderabad
Noida,noida
Navi Mumbai,mumbai
Ghaziabad,ghaziabad
Jaipur,jaipur
Guwahati,guwahati
Patna,patna
Indore,indore
Delhi-1,delhi
Dombivli,thane
Birati,kolkata
Nagpur,nagpur
Kanpur,kanpur
Chennai Area,chennai
Bhubaneswar,bhubaneswar
Faridabad,faridabad
Howrah,howrah
Pune Area,pune
Vasai,mumbai
Panvel,mumbai
Kalyan,thane
Allahabad,prayagraj
Visakhapatnam,visakhapatnam
Vadodara,vadodara
Nashik,nashik
Greater Noida,noida
Ranchi,ranchi
Hooghly,kolkata
Bengaluru-1,bengaluru
Bhopal,bhopal
Surat,surat
Greater Thane,thane
Kanpur-1,kanpur
Meerut,meerut
Durgapur,durgapur
Varanasi,varanasi
Delhi NCR,delhi
Raipur,raipur
Agartala-2,agartala
Virar,mumbai
Ulhasnagar,thane
Coimbatore,coimbatore
Dehradun,dehradun
Coimbatore Area,coimbatore
Asansol,asansol
Nagpur-2,nagpur
Amritsar,amritsar
Agra,agra
Jamshedpur,jamshedpur
Kolkata-3,kolkata
Kharagpur,kharagpur
Vijayawada,vijayawada
Jammu,jammu
Chandigarh,chandigarh
Kota,kota
Patna-1,patna
Greater Noida-1,noida
Muzaffarpur,muzaffarpur
Goa,panaji
Aurangabad,aurangabad
Mysore,mysuru
Udaipur,udaipur
Gandhi Nagar,gandhinagar
Warangal,warangal
Gorakhpur,gorakhpur
Jodhpur,jodhpur
Ludhiana,ludhiana
Bhagalpur,bhagalpur
Sagar,sagar
Mangalore,mangaluru
Gaya,gaya
Jhansi,jhansi
Kakinada,kakinada
Purnia-2,purnia
Nellore-3,nellore
Bhiwandi,bhiwandi
Rajkot,rajkot
Rajahmundry,rajahmundry
Chandigarh Area,chandigarh
Gorakhpur-1,gorakhpur
Haldwani,haldwani
Guntur,guntur
Mumbai Area,mumbai
Jabalpur,jabalpur
Birati Area,kolkata
Cuttack,cuttack
