raw,config_id,note
KALYAN,thane,satellite fold: Kalyan-Dombivli area -> Thane (user 2026-06-16)
DOMBIVLI,thane,satellite fold: Kalyan-Dombivli area -> Thane (user 2026-06-16)
DOMBIVALI,thane,satellite fold: Kalyan-Dombivli area -> Thane (user 2026-06-16)
KALYAN DOMBIVLI,thane,satellite fold: Kalyan-Dombivli -> Thane (user 2026-06-16)
KALYAN-DOMBIVLI,thane,satellite fold: Kalyan-Dombivli -> Thane (user 2026-06-16)
MIRA,mumbai,satellite fold: Mira-Bhayandar area -> Mumbai (user 2026-06-16)
MIRA ROAD,mumbai,satellite fold: Mira-Bhayandar area -> Mumbai (user 2026-06-16)
BHAYANDAR,mumbai,satellite fold: Mira-Bhayandar area -> Mumbai (user 2026-06-16)
BHAYANDER,mumbai,satellite fold: Mira-Bhayandar area -> Mumbai (user 2026-06-16)
MIRA BHAYANDAR,mumbai,satellite fold: Mira-Bhayandar -> Mumbai (user 2026-06-16)
MIRA-BHAYANDAR,mumbai,satellite fold: Mira-Bhayandar -> Mumbai (user 2026-06-16)
VASAI,mumbai,satellite fold: Vasai-Virar area -> Mumbai (user 2026-06-16)
VIRAR,mumbai,satellite fold: Vasai-Virar area -> Mumbai (user 2026-06-16)
VASAI VIRAR,mumbai,satellite fold: Vasai-Virar -> Mumbai (user 2026-06-16)
VASAI-VIRAR,mumbai,satellite fold: Vasai-Virar -> Mumbai (user 2026-06-16)
NALASOPARA,mumbai,satellite fold: Vasai-Virar area -> Mumbai (user 2026-06-16)
NALA SOPARA,mumbai,satellite fold: Vasai-Virar area -> Mumbai (user 2026-06-16)
