week_start,season_week,city,disease,tests_booked,positives
2025-06-01,1,bengaluru,dengue,1520,210
2025-06-08,2,bengaluru,dengue,1635,238
2025-06-15,3,bengaluru,dengue,1700,270
2025-06-22,4,bengaluru,dengue,1760,300
2025-06-29,5,bengaluru,dengue,1810,332
2025-07-06,6,bengaluru,dengue,1880,366
2025-07-13,7,bengaluru,dengue,1950,402
2025-07-20,8,bengaluru,dengue,2010,440
2025-07-27,9,bengaluru,dengue,2060,474
2025-08-03,10,bengaluru,dengue,2100,504
2025-08-10,11,bengaluru,dengue,2140,535
2025-08-17,12,bengaluru,dengue,2170,560
2025-08-24,13,bengaluru,dengue,2090,548
2025-08-31,14,bengaluru,dengue,2020,510
2025-09-07,15,bengaluru,dengue,1950,468
2025-09-14,16,bengaluru,dengue,1870,420
2025-09-21,17,bengaluru,dengue,1780,372
2025-09-28,18,bengaluru,dengue,1700,326
2025-10-05,19,bengaluru,dengue,1600,280
2025-10-12,20,bengaluru,dengue,1500,234
2025-10-19,21,bengaluru,dengue,1380,192
2025-10-26,22,bengaluru,dengue,1240,150
2025-06-01,1,bengaluru,malaria,580,18
2025-06-01,1,bengaluru,chikungunya,500,29
2025-06-01,1,bengaluru,typhoid,1200,102
2025-06-01,1,bengaluru,viral_fever,2600,360
2025-06-01,1,mumbai,dengue,1480,205
2025-06-01,1,mumbai,malaria,1380,150
2025-06-01,1,mumbai,chikungunya,410,20
2025-06-01,1,mumbai,typhoid,1120,90
2025-06-01,1,mumbai,viral_fever,2950,470
