week_start,city,disease,tests_booked,positives
2026-06-01,bengaluru,dengue,1840,331
2026-06-01,bengaluru,malaria,610,21
2026-06-01,bengaluru,chikungunya,540,38
2026-06-01,bengaluru,typhoid,1320,119
2026-06-01,bengaluru,viral_fever,2750,402
2026-06-01,mumbai,dengue,1610,214
2026-06-01,mumbai,malaria,1450,160
2026-06-01,mumbai,chikungunya,430,22
2026-06-01,mumbai,typhoid,1180,96
2026-06-01,mumbai,viral_fever,3100,503
2026-06-01,pune,dengue,990,178
2026-06-01,pune,malaria,420,17
2026-06-01,pune,chikungunya,360,19
2026-06-01,pune,typhoid,880,71
2026-06-01,pune,viral_fever,1980,287
2026-06-08,bengaluru,dengue,1910,352
2026-06-08,bengaluru,malaria,625,24
2026-06-08,bengaluru,chikungunya,560,41
2026-06-08,bengaluru,typhoid,1360,126
2026-06-08,bengaluru,viral_fever,2820,418
